"Game Number","Game Step","Initial Deck","Move Type","Card Color/Rank/Position","Cards Involving","Current Player ID","Player 1","Player 2"
"2","3","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","2","W0","0","Y1W0G3Y0B4","W3Y2B0G1Y0"
"2","4","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","3","B0","1","W0Y1G3Y0B4","W3Y2B0G1Y0"
"2","5","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","4","Y0","0","W0Y1G3Y0B4","R2W3Y2G1Y0"
"2","6","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","1","Y1","1","G3W0Y1G3B4","R2W3Y2G1Y0"
"2","7","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","3","Y1","0","G3W0Y1G3B4","R2W3Y2G1Y0"
"2","8","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","4","B4","1","B0G3W0G3B4","R2W3Y2G1Y0"
"2","9","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_COLOR","Y","Y2Y0","0","B0G3W0G3B4","R2W3Y2G1Y0"
"2","10","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","3","Y2","1","B0G3W0G3B4","R2W3Y2G1Y0"
"2","11","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","3","Y3W3","0","B0G3W0G3B4","Y3R2W3G1Y0"
"2","12","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","PLAY","1","Y3","1","B0G3W0G3B4","Y3R2W3G1Y0"
"2","13","B4Y0G3W0Y1Y0G1B0Y2W3W0R2G3B0Y3Y4R4R0R0W2G2B1Y1R1B1G0R3W4W1R0R2Y3G2R3W3B3W1G0B0B2G4G0B2W2G1Y2Y0R1W0B3","REVEAL_RANK","4","Y4","0","B0G3W0G3B4","Y4R2W3G1Y0"
